,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh_shooting,SoT,SoT%,G/Sh,G/SoT,Dist,FK_shooting,PK,PKatt_shooting,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt_keeper,PKA,PKsv,PKm,Cmp_keeper,Att_keeper,Cmp%_keeper,Att_keeper,Thr,Launch%,AvgLen,Att_keeper,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Cmp_passing,Att_passing,Cmp%_passing,TotDist_passing,PrgDist_passing,Cmp_passing,Att_passing,Cmp%_passing,Cmp_passing,Att_passing,Cmp%_passing,Cmp_passing,Att_passing,Cmp%_passing,Ast,xA,KP,1/3_passing,PPA,CrsPA,Prog_passing,Att_passing_types,Live_passing_types,Dead,FK_passing_types,TB,Press_passing_types,Sw,Crs_passing_types,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp_passing_types,Off_passing_types,Out,Int_passing_types,Blocks_passing_types,SCA,PassLive,PassDead,Drib,Sh_gca,Fld_gca,Def,GCA,PassLive,PassDead,Drib,Sh_gca,Fld_gca,Def,Tkl,TklW_defense,Def 3rd_defense,Mid 3rd_defense,Att 3rd_defense,Tkl,Att_defense,Tkl%,Past,Press_defense,Succ_defense,%,Def 3rd_defense,Mid 3rd_defense,Att 3rd_defense,Blocks_defense,Sh_defense,ShSv,Pass,Int_defense,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Succ_possession,Att_possession,Succ%,#Pl,Megs,Carries,TotDist_possession,PrgDist_possession,Prog_possession,1/3_possession,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_possession,CrdY,CrdR,2CrdY,Fls,Fld_misc,Off_misc,Crs_misc,Int_misc,TklW_misc,PKwon,PKcon,OG,Recov,Won,Lost,Won%,team
0,2017-08-12,17:30,Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,1,14.0,4.0,28.6,0.07,0.25,19.4,2.0,0,0,1.8,1.8,0.14,-0.8,-0.8,Match Report,2.0,2.0,100.0,1.0,0.4,0.4,0,0,0,0,2.0,5.0,40.0,20.0,7.0,10.0,22.5,4.0,75.0,56.8,3.0,0.0,0.0,1.0,24.2,712.0,808.0,88.1,13422.0,3465.0,297.0,320.0,92.8,315.0,346.0,91.0,89.0,117.0,76.1,1,1.1,9.0,69.0,15.0,1.0,60.0,808.0,766.0,42.0,10.0,2.0,63.0,28.0,16.0,10.0,1.0,5.0,0.0,612.0,105.0,91.0,182.0,570.0,20.0,17.0,10.0,712.0,1.0,8.0,19.0,17.0,22.0,17.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,5.0,6.0,0.0,4.0,14.0,28.6,10.0,104.0,28.0,26.9,25.0,42.0,37.0,7.0,2.0,0.0,5.0,13.0,,15.0,0.0,77.0,902.0,30.0,146.0,484.0,329.0,31.0,858.0,8.0,15.0,53.3,9.0,1.0,646.0,3346.0,1924.0,91.0,27.0,3.0,15.0,4.0,794.0,712.0,89.7,60.0,2,0,0,9.0,8.0,1.0,16.0,13.0,4.0,0.0,0.0,0,85.0,19.0,17.0,52.8,ManchesterCity
1,2017-08-21,20:00,Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,1,20.0,6.0,30.0,0.05,0.17,18.9,1.0,0,0,1.2,1.2,0.06,-0.2,-0.2,Match Report,2.0,1.0,50.0,0.0,0.8,-0.2,0,0,0,0,7.0,10.0,70.0,27.0,5.0,25.9,33.5,6.0,50.0,46.0,3.0,2.0,66.7,1.0,16.0,497.0,611.0,81.3,9615.0,3476.0,199.0,228.0,87.3,217.0,254.0,85.4,72.0,110.0,65.5,0,1.0,16.0,39.0,16.0,0.0,67.0,611.0,556.0,55.0,11.0,2.0,135.0,24.0,14.0,7.0,0.0,6.0,0.0,389.0,113.0,109.0,158.0,370.0,22.0,29.0,10.0,497.0,0.0,13.0,10.0,14.0,33.0,27.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,9.0,5.0,1.0,7.0,14.0,50.0,7.0,127.0,42.0,33.1,42.0,51.0,34.0,13.0,0.0,0.0,13.0,13.0,,18.0,0.0,63.0,732.0,47.0,190.0,374.0,227.0,42.0,678.0,6.0,15.0,40.0,7.0,0.0,447.0,2863.0,1715.0,77.0,25.0,9.0,12.0,16.0,580.0,497.0,85.7,67.0,2,1,1,8.0,13.0,0.0,14.0,13.0,10.0,0.0,0.0,0,108.0,28.0,14.0,66.7,ManchesterCity
2,2017-08-26,12:30,Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,2,18.0,8.0,44.4,0.11,0.25,16.4,1.0,0,0,1.6,1.6,0.09,0.4,0.4,Match Report,3.0,2.0,66.7,0.0,1.1,0.1,0,0,0,0,1.0,3.0,33.3,17.0,6.0,11.8,26.9,1.0,100.0,98.0,7.0,1.0,14.3,0.0,18.6,568.0,676.0,84.0,10625.0,3119.0,243.0,268.0,90.7,240.0,280.0,85.7,78.0,107.0,72.9,2,1.3,12.0,47.0,14.0,2.0,48.0,676.0,621.0,55.0,12.0,1.0,96.0,16.0,17.0,5.0,2.0,2.0,0.0,445.0,126.0,105.0,201.0,377.0,30.0,35.0,7.0,568.0,3.0,7.0,7.0,22.0,26.0,18.0,3.0,1.0,2.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,5.0,1.0,2.0,1.0,11.0,9.1,10.0,91.0,29.0,31.9,15.0,38.0,38.0,13.0,4.0,0.0,9.0,8.0,,23.0,0.0,71.0,802.0,54.0,191.0,403.0,268.0,41.0,748.0,11.0,17.0,64.7,13.0,0.0,566.0,2875.0,1691.0,77.0,25.0,5.0,25.0,15.0,653.0,568.0,87.0,56.0,5,1,1,14.0,16.0,3.0,17.0,8.0,6.0,0.0,0.0,0,119.0,30.0,11.0,73.2,ManchesterCity
3,2017-09-09,12:30,Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,5,13.0,10.0,76.9,0.38,0.5,14.2,0.0,0,0,2.7,2.7,0.21,2.3,2.3,Match Report,3.0,3.0,100.0,2.0,0.5,0.5,0,0,0,0,5.0,8.0,62.5,30.0,5.0,23.3,33.6,3.0,33.3,50.3,0.0,0.0,,1.0,16.0,694.0,773.0,89.8,13656.0,3583.0,254.0,268.0,94.8,338.0,365.0,92.6,94.0,122.0,77.0,5,2.6,11.0,32.0,8.0,5.0,44.0,773.0,729.0,44.0,11.0,2.0,111.0,22.0,20.0,8.0,0.0,3.0,0.0,631.0,73.0,69.0,241.0,475.0,20.0,21.0,6.0,694.0,5.0,6.0,18.0,11.0,23.0,17.0,3.0,1.0,0.0,1.0,1.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,9.0,7.0,4.0,7.0,21.0,33.3,14.0,135.0,43.0,31.9,33.0,62.0,40.0,10.0,2.0,0.0,8.0,16.0,,18.0,0.0,65.0,878.0,51.0,182.0,588.0,152.0,26.0,835.0,3.0,12.0,25.0,5.0,2.0,678.0,2392.0,1341.0,54.0,17.0,7.0,10.0,9.0,754.0,694.0,92.0,44.0,2,0,0,12.0,11.0,5.0,20.0,16.0,14.0,0.0,0.0,0,62.0,12.0,8.0,60.0,ManchesterCity
4,2017-09-13,20:45,Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,4,11.0,8.0,72.7,0.36,0.5,,,0,0,,,,,,Match Report,1.0,1.0,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,9.0,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,10.0,12.0,6.0,22.0,9.0,6.0,0.0,0.0,0,,,,,ManchesterCity
5,2017-09-16,15:00,Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,6,27.0,9.0,33.3,0.19,0.56,17.3,0.0,1,1,3.6,2.8,0.1,2.4,2.2,Match Report,1.0,1.0,100.0,1.0,0.6,0.6,0,0,0,0,4.0,7.0,57.1,28.0,5.0,10.7,23.1,5.0,80.0,57.0,7.0,1.0,14.3,0.0,12.6,610.0,676.0,90.2,11743.0,3720.0,240.0,266.0,90.2,282.0,299.0,94.3,84.0,100.0,84.0,5,1.7,20.0,43.0,17.0,2.0,55.0,676.0,635.0,41.0,9.0,1.0,92.0,13.0,21.0,11.0,0.0,2.0,1.0,541.0,79.0,56.0,228.0,406.0,14.0,15.0,9.0,610.0,0.0,8.0,19.0,8.0,42.0,32.0,5.0,1.0,0.0,3.0,1.0,12.0,8.0,1.0,1.0,0.0,2.0,0.0,23.0,17.0,11.0,7.0,5.0,11.0,25.0,44.0,14.0,130.0,45.0,34.6,39.0,52.0,39.0,10.0,1.0,0.0,9.0,15.0,,30.0,0.0,67.0,823.0,61.0,235.0,399.0,254.0,41.0,785.0,9.0,11.0,81.8,9.0,1.0,527.0,2839.0,1810.0,66.0,26.0,8.0,16.0,12.0,669.0,610.0,91.2,55.0,0,0,0,8.0,11.0,0.0,21.0,15.0,17.0,1.0,0.0,0,72.0,18.0,12.0,60.0,ManchesterCity
6,2017-09-20,20:00,EFL Cup,Third round,Wed,Away,W,2,1,West Brom,2,15.0,8.0,53.3,0.13,0.25,,,0,0,,,,,,Match Report,3.0,2.0,66.7,0.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,8.0,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,13.0,14.0,2.0,12.0,8.0,9.0,0.0,0.0,0,,,,,ManchesterCity
7,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,5,25.0,9.0,36.0,0.2,0.56,13.1,0.0,0,0,4.4,4.4,0.18,0.6,0.6,Match Report,0.0,0.0,,1.0,0.0,0.0,0,0,0,0,1.0,3.0,33.3,19.0,7.0,0.0,26.8,5.0,60.0,49.6,4.0,0.0,0.0,0.0,14.7,688.0,778.0,88.4,13398.0,3808.0,273.0,293.0,93.2,320.0,355.0,90.1,90.0,113.0,79.6,5,3.7,17.0,73.0,21.0,4.0,82.0,778.0,735.0,43.0,8.0,4.0,91.0,31.0,22.0,8.0,0.0,6.0,0.0,615.0,84.0,79.0,235.0,490.0,20.0,21.0,10.0,688.0,0.0,10.0,17.0,16.0,41.0,31.0,2.0,2.0,3.0,0.0,3.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,7.0,2.0,5.0,2.0,2.0,14.0,14.3,12.0,110.0,34.0,30.9,20.0,60.0,30.0,15.0,3.0,0.0,12.0,10.0,,8.0,2.0,71.0,884.0,44.0,155.0,465.0,309.0,58.0,841.0,10.0,16.0,62.5,11.0,0.0,578.0,2582.0,1588.0,88.0,20.0,10.0,8.0,9.0,762.0,688.0,90.3,82.0,3,0,0,8.0,11.0,0.0,22.0,10.0,7.0,0.0,0.0,0,89.0,8.0,12.0,40.0,ManchesterCity
8,2017-09-26,19:45,Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,2,18.0,7.0,38.9,0.11,0.29,,,0,1,,,,,,Match Report,2.0,2.0,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,25.0,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,11.0,6.0,5.0,14.0,25.0,16.0,1.0,0.0,0,,,,,ManchesterCity
9,2017-09-30,17:30,Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,1,17.0,5.0,29.4,0.06,0.2,17.2,1.0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report,2.0,2.0,100.0,1.0,0.1,0.1,0,0,0,0,6.0,13.0,46.2,36.0,4.0,27.8,34.3,3.0,100.0,77.3,8.0,1.0,12.5,4.0,18.6,602.0,690.0,87.2,12066.0,3722.0,224.0,249.0,90.0,280.0,306.0,91.5,94.0,125.0,75.2,1,1.0,13.0,47.0,11.0,2.0,62.0,690.0,644.0,46.0,15.0,0.0,54.0,13.0,12.0,8.0,0.0,7.0,0.0,571.0,64.0,55.0,199.0,448.0,11.0,19.0,5.0,602.0,0.0,11.0,17.0,7.0,27.0,20.0,5.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,9.0,9.0,2.0,5.0,11.0,45.5,6.0,150.0,41.0,27.3,36.0,65.0,49.0,11.0,0.0,0.0,11.0,26.0,,19.0,0.0,61.0,819.0,52.0,213.0,446.0,209.0,34.0,773.0,6.0,10.0,60.0,6.0,1.0,627.0,2997.0,1591.0,71.0,15.0,8.0,15.0,18.0,678.0,602.0,88.8,62.0,2,0,0,16.0,9.0,0.0,12.0,26.0,16.0,0.0,0.0,0,76.0,18.0,12.0,60.0,ManchesterCity
